Location_Name,Low Voltage Event Count,Low Voltage Duration,No Supply Event Count,No Supply Duration,Normal Voltage Event Count,Normal Voltage Duration,Over Voltage Event Count,Over Voltage Duration,Max Absolute Correlation With
Buruburu 01,-0.1290397,-0.127563047,-0.177351219,0.321101313,-0.510702411,-0.458010499,-0.491926404,-0.459473071,Normal Voltage Event Count
Buruburu 02,0.054246543,0.248254402,0.057753593,0.59958285,0.056207585,-0.405287063,0.268466708,0.268466708,No Supply Duration
Buruburu 03,0.049121075,0.104729184,0.029227856,-0.034895234,0.049524308,-0.125595901,0.270279177,0.270279177,Over Voltage Event Count
Buruburu 04,0.014042219,-0.00058573,-0.302604766,-0.492918214,-0.02400997,-0.405343171,-0.371178041,-0.352529228,No Supply Duration
Buruburu 05,,,1,-1,1,1,1,1,No Supply Event Count
Dandora 01,-0.167099617,0.265390172,-0.419513782,-0.222258063,-0.127265477,-0.198587617,,,No Supply Event Count
Dandora 04,-0.454733581,-0.169725843,-0.841858986,-0.640892494,-0.252294976,0.191759079,0.159077799,0.210721339,No Supply Event Count
Dandora 05,-0.078799544,-0.08900742,0.046582129,0.422469929,0.032692666,0.096224518,-0.159208304,-0.096121726,No Supply Duration
Dandora 06,-0.141260629,-0.149554235,-0.257725783,-0.589405321,-0.551777964,0.363749928,0.539544225,0.539544225,No Supply Duration
EED 01,,,-0.838984109,0.078411444,0.461334987,-0.115856048,0.530512181,0.460835157,No Supply Event Count
Kabete 01,-0.477565869,-0.603112124,-0.669340963,-0.023524788,-0.333898425,-0.213307908,0.11515037,-0.039525316,No Supply Event Count
Karen 01,0.303396646,0.255756342,-0.045029857,-0.001036764,-0.657484023,-0.328665248,-0.665458479,-0.420698208,Over Voltage Event Count
Karen 02,-0.057485252,0.179230016,-0.007080881,-0.034930421,-0.057888312,-0.00604494,-0.076561554,-0.315594175,Over Voltage Duration
Kawangware 01,-0.434436221,-0.442846331,-0.268520137,0.045622906,-0.416706837,-0.335534277,0.153488735,0.106916672,Low Voltage Duration
Kawangware 02,-0.629515014,-0.872636762,0.242694258,0.240292056,-0.605659289,-0.083633522,0.202398783,0.193781159,Low Voltage Duration
Kawangware 03,-0.260279733,-0.457229581,-0.356041854,0.056952453,-0.257057215,0.321961054,-0.543485853,-0.111041614,Over Voltage Event Count
Kawangware 04,-0.010674737,-0.693446155,0.140230104,-0.590822626,0.254876345,-0.456110223,0.263206494,0.239900056,Low Voltage Duration
Kawangware 05,-0.534466918,-0.628066985,0.267413267,0.010254028,0.206139203,-0.260630341,0.36466967,0.341674499,Low Voltage Duration
Kawangware 06,0.130388184,0.026555697,-0.08696583,-0.481851047,0.632532598,-0.31421643,0.752519019,0.378951695,Over Voltage Event Count
